MASS	FAT	DUNG	SOIL
0.017323601	0.001343066	5	0
0.014165764	0.00095883	0	0
0.015025218	0.000187987	30.1	14
0.017484725	0.002423625	5.1	12
0.01332786	0.000996169	5	9
0.031206273	0.000940893	40.1	14
0.024400161	0.000664251	6	11
0.023981255	0.000794621	84.1	68
0.025572097	0.000697575	60.1	20
0.015242291	0.000440529	46.1	33
0.018693541	0.00218067	36.1	12
0.019952971	0.000530141	2.1	0
0.016509765	0.000916375	0	0
0.027038715	0.002265239	77.1	29
0.021476684	0.001714162	3.1	0
0.021168078	0.001234953	43.1	23
0.021610436	0.002271705	35.1	23
0.022600644	0.001187601	5.1	0
0.020157407	0.002060185	21.1	27
0.015343376	0.000575986	47.1	29
0.02035426	0.000762332	2.1	0
0.019070594	0.002158456	43.1	24
0.022065266	0.000889584	8	0
0.014511089	0.00077621	5	0
0.025027648	0.001931093	9.1	9
0.018645477	0.001574572	31.1	37
0.024715177	0.001093555	69.1	28
0.016274988	0.001667479	0	0
0.0187	0.000981818	64.1	27
0.018882979	0.002485493	34.1	15
0.019001775	0.001960958	5.1	0
0.02037571	0.000982962	3.1	0
0.017021277	0.002234043	36.1	25
0.015185	0.001245	5	0
0.019381348	0.000909511	6	10
0.019404432	0.002636196	8	15
0.020064457	0.001325967	53.1	28
0.01534588	0.001602238	5	10
0.025139507	0.002228063	5.1	0
0.023216936	0.003662156	5	0
0.024293015	0.002981261	6	0
0.026343515	0.004829571	18.1	18
0.022699301	0.003668998	6	0
0.017446602	0.001883495	6.2	4
0.023690678	0.002114407	5	0
0.026518643	0.004394638	8	0
0.023480329	0.001495893	42.1	23
0.022351399	0.00333042	12	8
0.017738095	0.001264881	5.1	0
0.02606278	0.00455157	34.1	14
